Teff,alpha_p16,alpha_median,alpha_p84,alpha_err68
3504.0,0.09593075394630432,0.12957342714071274,0.16280997455120086,0.03343961030244827
3661.6316,0.10306914240121841,0.1261300891637802,0.1496422427892685,0.023286550194025042
3819.2632,0.0993528762459755,0.12298344448208809,0.14600781679153443,0.02332747027277947
3976.8948,0.10184985756874085,0.12879736721515656,0.15284622550010682,0.025498183965682986
4134.5264,0.10454394698143006,0.13474544882774353,0.1655882078409195,0.030522130429744714
4292.1577,0.10235001653432846,0.13231238722801208,0.16281696081161498,0.03023347213864326
4449.7896,0.09175913780927658,0.119637131690979,0.14291009664535523,0.025575479418039324
4607.421,0.08352694422006607,0.10879873111844063,0.12947579979896545,0.022974427789449692
4765.0527,0.08195890516042709,0.10435431078076363,0.12305610984563828,0.020548602342605596
4922.684,0.08353519350290299,0.10323315858840942,0.12282877564430236,0.019646791070699686
5080.316,0.07951672494411469,0.10076155886054039,0.12266795724630356,0.021575616151094434
5237.9473,0.06611104607582093,0.08910714462399483,0.11237422406673431,0.02313158899545669
5395.579,0.04064949065446854,0.062370337545871735,0.08256171643733977,0.020956112891435615
5553.2104,0.024575148448348044,0.04489201493561268,0.06598011493682861,0.02070248324424028
5710.842,0.004615084771066906,0.02494506910443306,0.04998144775629043,0.022683181492611764
5868.4736,-0.029199965521693228,-0.008779156487435102,0.01281808890402317,0.0210090272128582
6026.1055,-0.0854591703414917,-0.055327899754047394,-0.03385453999042511,0.025802315175533292
6183.737,-0.12887133479118348,-0.09432545304298401,-0.06465821713209152,0.03210655882954598
6341.368,-0.1445262086391449,-0.10982172563672066,-0.07787692725658417,0.03332464069128036
6499.0,-0.15243288397789,-0.1066032238304615,-0.057246238440275196,0.04759332276880741
