Teff,alpha_p16,alpha_median,alpha_p84,alpha_err68
3504.0,0.0691951236128807,0.09242001920938492,0.11665464311838149,0.023729759752750393
3661.6316,0.0731219431757927,0.09079562500119209,0.10865670412778854,0.01776738047599792
3819.2632,0.07253992736339569,0.08824453502893448,0.10257802516221999,0.015019048899412149
3976.8948,0.0708452069759369,0.08613301441073418,0.09997320681810379,0.014563999921083447
4134.5264,0.06963556796312333,0.08440201357007027,0.09840433806180954,0.014384385049343106
4292.1577,0.06876118302345276,0.08314188569784164,0.0966955229640007,0.013967169970273974
4449.7896,0.0674669548869133,0.08111782371997833,0.09374496549367904,0.01313900530338287
4607.421,0.06665039390325546,0.07897789776325226,0.09045645087957382,0.011903028488159183
4765.0527,0.06900009900331497,0.07886630296707153,0.08892073512077331,0.00996031805872917
4922.684,0.06974837124347687,0.07910608127713203,0.0888651391863823,0.009558383971452714
5080.316,0.07038390010595322,0.0791361816227436,0.08890418350696563,0.009260141700506208
5237.9473,0.06788791060447692,0.07681572437286377,0.08654500454664231,0.009328546971082693
5395.579,0.06113541826605797,0.07086535915732384,0.08025052130222321,0.00955755151808262
5553.2104,0.05077025353908539,0.0604199655354023,0.07018884986639023,0.009709298163652423
5710.842,0.03454302489757538,0.0447674635797739,0.053956077694892884,0.009706526398658752
5868.4736,0.013045498877763748,0.025747251696884632,0.037278658151626586,0.01211657963693142
6026.1055,-0.007138680201023817,0.009335601702332497,0.024871520847082135,0.016005100524052976
6183.737,-0.019286068603396416,0.0015850782510824502,0.018673001080751414,0.018979534842073917
6341.368,-0.020492988750338555,7.592439578729682e-05,0.017182234749197958,0.01883761174976826
6499.0,-0.02519134260714054,0.0029093028279021382,0.022915166914463037,0.02405325476080179
