Teff,alpha_p16,alpha_median,alpha_p84,alpha_err68
3520.0,0.06979399412870407,0.09961990267038345,0.1289633721113205,0.029584688991308214
3675.9473,0.07358819395303726,0.09844622761011124,0.12249483823776246,0.0244533221423626
3831.8948,0.07313613176345825,0.09438107162714005,0.11419175595045089,0.02052781209349632
3987.842,0.06951080977916718,0.08923773840069771,0.10804403960704803,0.019266614913940425
4143.7896,0.06541702598333358,0.0849301815032959,0.10240330904722213,0.01849314153194427
4299.737,0.06211241945624352,0.0811021700501442,0.09706239521503449,0.017474987879395484
4455.684,0.059069537818431855,0.07809820026159286,0.0932369840145111,0.01708372309803962
4611.632,0.05815781846642494,0.07598638534545898,0.09029361486434936,0.016067898198962212
4767.579,0.06186968728899956,0.0771782286465168,0.08999496430158614,0.01406263850629329
4923.5264,0.06516568958759308,0.07835589721798897,0.0916231521964073,0.013228731304407111
5079.4736,0.06898869603872299,0.08074468746781349,0.09464300334453582,0.012827153652906417
5235.421,0.06885752171277999,0.08195271342992783,0.0979599866271019,0.014551232457160952
5391.368,0.06410378873348237,0.07775513082742691,0.09394797325134277,0.014922092258930202
5547.316,0.05592960879206657,0.06826290115714073,0.08267310440540314,0.013371747806668284
5703.263,0.043563713282346726,0.05545102432370186,0.0679505568742752,0.012193421795964238
5859.211,0.02688018321990967,0.041173649951815605,0.0548789544403553,0.013999385610222816
6015.158,0.007748866267502308,0.026688003912568092,0.04307997420430183,0.017665553968399764
6171.1055,-0.006441513802856207,0.01611471176147461,0.03555582270026207,0.02099866825155914
6327.0527,-0.018660175427794457,0.008241069503128529,0.032195293307304376,0.025427734367549415
6483.0,-0.030233093947172163,0.00413154368288815,0.03462995573878288,0.032431524842977524
