KIC,Teff,log(g),Mass,Prot,e_Prot,n_Prot,Rper,LPH,w,Ref,_RA,_DE,kepid,kepmag,dutycycle,dataspan,rrmscdpp01p5,rrmscdpp02p0,rrmscdpp02p5,rrmscdpp03p0,rrmscdpp03p5,rrmscdpp04p5,rrmscdpp05p0,rrmscdpp06p0,rrmscdpp07p5,rrmscdpp09p0,rrmscdpp10p5,rrmscdpp12p0,rrmscdpp12p5,rrmscdpp15p0,cdppslplong,cdppslpshrt,r,logr
10222127,5644,4.51,1.0038,18.755,0.9,   ,8173.05,0.967,0.5619,0,296.97037,47.26596,10222127,14.64,0.6975,1458.931,187.419,167.976,157.923,147.228,141.055,130.234,126.164,119.992,114.611,112.81,111.074,110.092,110.349,111.745,-0.0462,-0.57847,8173.05,3.912384155796039
10222128,5396,4.23,0.9371,17.325,0.256,   ,4285.42,0.935,0.5983,0,296.97119,47.20789,10222128,14.655,0.6976,1458.931,185.003,164.632,154.89,143.915,137.521,125.773,120.958,114.304,107.767,104.383,103.161,102.243,102.134,102.513,-0.07342999999999998,-0.6035899999999998,4285.42,3.6319933921270615
10222509,4554,4.55,0.7155,13.782,2.342,   ,6578.62,1.103,0.6018,0,297.07272,47.29441,10222509,15.921,0.6976999999999999,1458.931,402.214,355.731,331.791,307.709,292.872,268.035,257.228,242.904,227.92,217.568,211.778,208.06,207.467,206.345,-0.1468599999999999,-0.6255,6578.62,3.818134801024121
10222585,5351,4.8,0.9253,27.387,1.04,   ,1049.88,0.374,0.2764,0,297.09427,47.2801,10222585,13.911,0.6976999999999999,1458.931,115.19,101.372,94.326,87.001,82.551,75.054,71.982,67.305,62.328,58.569,55.847,53.777,53.201,50.26,-0.30706,-0.6563499999999999,1049.88,3.0211396625784386
10222603,5861,4.62,1.0654,15.08,0.042,   ,5000.47,0.878,0.546,0,297.09702,47.22349,10222603,13.725,0.6976999999999999,1458.931,119.513,109.234,105.442,100.587,97.914,93.216,91.60400000000001,89.67199999999998,88.476,88.004,88.486,89.73,90.672,95.679,0.1029999999999999,-0.3882999999999999,5000.47,3.699010826098725
10222736,5724,4.86,1.0261,1.216,0.258,   ,3194.81,0.637,0.3771,0,297.13495,47.29939,10222736,15.974,0.665,1238.002,492.518,465.556,469.694,463.852,467.235,471.886,469.844,467.401,451.546,424.458,405.739,388.11,381.782,342.679,-0.37802,0.02582,3194.81,3.504445035137554
10222884,5040,4.58,0.8446,27.248,3.706,SM2,6180.82,0.536,0.3808,0,297.1828,47.22102,10222884,15.801,0.6643,1238.002,424.648,385.476,366.422,343.915,331.124,307.958,298.085,283.277,268.666,258.602,253.639,250.542,250.771,252.824,-0.09297,-0.5261299999999999,6180.82,3.7910460961003154
10222903,5732,4.72,1.0283,21.211,0.181,   ,765.0,0.594,0.3898,0,297.18924,47.26512,10222903,12.863,0.6976999999999999,1458.931,76.078,68.074,64.021,59.496,57.016,52.19,50.39,47.719,44.783,42.511,40.941,39.578,39.174,37.761,-0.2476299999999999,-0.59874,765.0,2.8836614351536176
10223090,4974,4.33,0.8275,13.685,0.696,   ,9072.33,1.111,0.6157,0,297.23865,47.25145,10223090,14.901,0.6975,1458.931,225.066,203.369,194.297,182.944,176.017,164.137,159.896,153.347,148.03,145.25,145.035,145.57,145.863,151.451,0.02491,-0.50433,9072.33,3.9577188390105227
10223911,6211,4.26,1.1742,12.495,0.381,   ,708.88,0.542,0.3548,0,297.4725,47.21438,10223911,12.93,0.6976,1458.931,73.71299999999998,65.79,62.215,58.269,56.179,52.53,51.205,49.214,47.651,46.896,46.866,46.998,47.208,48.57,0.02234,-0.5181999999999999,708.88,2.8505727235488623
10224033,5502,4.92,0.9653,12.093,0.08,   ,14413.71,1.34,0.7041,0,297.51163,47.28032,10224033,15.756,0.6976,1458.931,387.52,346.759,327.285,304.816,291.715,270.513,263.25,252.873,242.733,235.867,233.838,235.288,236.482,245.948,0.01171,-0.56908,14413.71,4.158775779922206
10224141,6255,4.64,1.189,3.964,0.09,   ,2624.81,0.385,0.2808,0,297.54221,47.23955,10224141,14.892,0.6974,1458.931,224.107,201.303,191.714,180.666,174.984,165.505,162.254,158.807,158.473,160.568,164.102,168.058,169.872,179.2,0.17274,-0.4620799999999999,2624.81,3.419097871956072
10224468,6021,4.32,1.1134,9.255,0.129,   ,3240.35,0.853,0.5719,0,297.63678,47.29799,10224468,12.322,0.6976,1458.931,60.284,55.604,54.109,52.14,51.606,50.149,49.736,49.816,50.582,51.786,53.282,54.833,55.402,59.036,0.2163299999999999,-0.2611499999999999,3240.35,3.510591922200197
10224561,6348,4.73,1.221,3.078,0.022,   ,1034.29,0.347,0.26,0,297.65863,47.25206,10224561,14.179,0.6976999999999999,1458.931,143.247,128.247,122.362,115.52,112.304,107.063,105.113,104.011,104.012,105.739,108.325,111.208,112.076,117.636,0.1756399999999999,-0.42881,1034.29,3.014642325741932
10224610,6211,4.5,1.1742,6.876,1.024,   ,1031.4,0.339,0.2699,0,297.67593,47.21293,10224610,14.213,0.6976,1458.931,142.357,126.219,118.91,110.879,106.228,98.521,95.752,91.686,88.55299999999998,86.717,86.65699999999998,86.655,86.831,88.467,-0.00318,-0.5609899999999999,1031.4,3.0134271270706963
10224620,5243,4.76,0.8972,7.897,0.072,   ,16509.35,1.347,0.7045,0,297.67743,47.26138,10224620,15.833,0.6976,1458.931,417.463,374.39,355.74,334.611,322.052,303.452,296.938,287.302,277.521,274.126,275.778,277.311,279.163,292.557,0.06671,-0.49278,16509.35,4.217729974718257
10224814,4893,4.62,0.8064,15.361,0.07,   ,12379.59,1.162,0.6538,0,297.73151,47.24382,10224814,15.996,0.6976,1458.931,452.735,401.016,375.33,347.299,331.072,303.849,293.027,277.799,262.956,251.905,244.866,239.795,238.701,235.635,-0.16177,-0.61833,12379.59,4.0927062615107435
10225596,5465,3.78,0.9554,16.255,0.005,   ,14184.59,1.301,0.6659,0,297.94098,47.29529,10225596,13.162,0.6976999999999999,1458.931,110.091,101.025,97.503,93.078,91.185,88.313,87.10899999999998,86.26699999999998,86.72499999999998,87.427,88.84999999999998,90.945,91.59200000000001,95.332,0.13577,-0.33738,14184.59,4.151816787201949
10225820,5050,4.35,0.8472,9.578,0.141,   ,3679.07,1.034,0.5555,0,298.00586,47.20949,10225820,14.462,0.6976999999999999,1458.931,192.69,173.856,164.804,154.708,148.44,137.818,133.752,128.707,123.901,120.842,119.451,119.058,119.054,120.413,-0.04452,-0.53868,3679.07,3.5657380510343133
10225826,5447,4.53,0.9506,17.842,0.055,   ,13041.5,1.173,0.6347,0,298.00754,47.22245,10225826,15.552,0.665,1238.002,392.144,350.735,331.008,310.185,298.031,275.805,267.287,257.343,246.989,239.408,234.061,231.74,230.92,233.794,-0.08837,-0.54764,13041.5,4.115327545710152
10225925,5955,4.31,1.0933,14.172,0.044,   ,2008.32,1.488,0.6864,0,298.02945,47.20161,10225925,12.555,0.6976,1458.931,60.635,53.991,50.905,47.552,45.542,42.336,40.97,38.921,37.122,36.101,35.865,35.736,35.767,36.187,-0.03786,-0.55459,2008.32,3.302832913234805
10226001,5860,4.73,1.0651,16.9,0.871,   ,3761.83,0.475,0.3523,0,298.0441,47.29309,10226001,15.867,0.665,1238.002,473.483,414.785,385.226,356.479,337.288,308.181,295.866,276.719,257.338,244.796,235.599,227.392,225.321,217.636,-0.24545,-0.64707,3761.83,3.575399165555105
10226169,5592,4.7,0.9896,3.127,0.01,   ,8249.22,1.422,0.7208,0,298.08389,47.28701,10226169,15.698,0.665,1238.002,442.049,397.025,377.511,355.919,343.678,322.685,314.821,306.408,301.262,301.359,305.796,308.938,310.641,320.418,0.08716999999999998,-0.48447,8249.22,3.9164128860395593
10226382,5052,4.86,0.8477,31.396,6.171,   ,3489.67,0.446,0.309,0,298.14722,47.29049,10226382,13.714,0.6975,1458.931,49.566,43.899,41.695,39.219,37.713,36.103,35.559,35.179,35.524,36.494,37.575,38.936,39.45,42.018,0.2384199999999999,-0.46138,3489.67,3.5427843599233073
10226708,5604,4.47,0.9928,8.387,0.01,   ,15814.3,1.368,0.7394,0,298.23651,47.28298,10226708,15.24,0.6651,1238.002,324.114,291.452,277.557,262.038,252.583,238.73,233.229,225.273,221.867,222.571,225.415,230.576,233.189,247.158,0.1483299999999999,-0.4715099999999999,15814.3,4.199049973180894
10226781,6236,4.43,1.1826,1.034,0.008,   ,1915.69,0.45,0.3,0,298.25952,47.25334,10226781,13.818,0.6975,1458.931,183.43,185.189,197.019,204.411,213.378,223.152,226.547,235.9,245.811,245.269,243.621,243.479,243.882,244.738,-0.00948,0.5900999999999998,1915.69,3.282325232204985
