KOI,KIC,Teff,log(g),Prot,e_Prot,Rvar,LPH,w,D,N,C,G,T,F,R,M1,M2,Simbad,_RA,_DE,kepid,kepmag,r,logr
1537,9872292,6063,4.372, 12.63, 0.20,  430, 0.496013, 0.359938,0,1,0,0,0,0,0,0,0,Simbad,281.46173,46.78989,9872292,11.74,430.0,2.6334684555795866
1541,4840513,6164,4.527,  2.45, 0.00, 8659, 1.008682, 0.594980,0,0,0,0,0,0,0,0,0,Simbad,293.19507,39.90728,4840513,15.189,8659.0,3.9374677396433775
1546,5475431,5505,4.967,  0.91, 0.00,15271, 1.534542, 0.745057,0,0,0,0,0,0,0,0,0,Simbad,298.5137,40.63962,5475431,14.456,15271.0,4.183867477152165
1547,5283458,5901,4.61,  7.76, 0.00,10400, 1.342267, 0.725631,0,0,0,0,0,0,0,0,0,Simbad,294.2009,40.45596,5283458,15.673,10400.0,4.017033339298781
1552,7984047,4650,4.46, 37.19, 0.71, 6691, 0.651469, 0.381055,0,0,0,0,0,0,0,0,0,Simbad,298.92593,43.75037,7984047,15.915,6691.0,3.825491029879431
1557,5371776,4783,4.249, 14.16, 0.03,11030, 1.136094, 0.624912,0,0,0,0,0,0,0,0,0,Simbad,294.44177,40.55759,5371776,14.84,11030.0,4.042575512440191
1576,5299459,5445,4.352, 25.76, 0.20, 3949, 0.735950, 0.448911,0,0,0,0,0,0,0,0,0,Simbad,297.79514,40.41771,5299459,14.072,3949.0,3.5964871337365443
1584,9941066,4147,4.517, 31.80, 0.24, 8886, 0.863750, 0.515510,0,0,0,0,0,0,0,0,0,Simbad,286.58539,46.87093,9941066,15.961,8886.0,3.948706308904852
1588,5617854,4106,4.584, 30.91, 0.68, 5199, 0.880418, 0.528515,0,0,0,0,0,0,0,0,0,Simbad,291.15295,40.88749,5617854,14.699,5199.0,3.7159198174335795
1589,5301750,5755,4.422, 19.39, 0.51, 2040, 0.337916, 0.266345,0,0,0,0,0,0,0,0,0,Simbad,298.25204,40.49608,5301750,14.764,2040.0,3.3096301674258988
1590,5542466,4830,4.495, 32.57, 3.56, 4257, 0.430077, 0.315946,0,0,0,0,0,0,0,0,0,Simbad,294.36487,40.72088,5542466,15.674,4257.0,3.6291036501771363
1612,10963065,6043,4.157, 12.41, 0.30,  221, 0.348683, 0.281593,0,0,0,0,0,0,0,0,0,Simbad,284.78619,48.42323,10963065,8.769,221.0,2.3443922736851106
1615,4278221,5534,4.56,  7.73, 0.01, 7277, 1.194863, 0.658293,0,0,0,0,0,0,0,0,0,Simbad,295.32251,39.37649,4278221,11.524,7277.0,3.8619523749214517
1616,9015738,5942,4.528, 11.64, 1.55,  888, 0.505711, 0.372181,0,0,0,0,0,0,0,0,0,Simbad,289.50635,45.371,9015738,11.538,888.0,2.948412965778601
1618,7215603,6086,4.315,  7.13, 0.02,  309, 0.462587, 0.334647,0,0,0,0,0,0,0,0,0,Simbad,296.04736,42.74301,7215603,11.6,309.0,2.4899584794248346
1621,5561278,5945,4.322, 18.26, 0.42,  494, 0.453913, 0.303976,0,0,0,0,0,0,0,0,0,Simbad,298.5892,40.75069,5561278,11.855,494.0,2.693726948923647
1627,6543893,5207,4.589, 25.44, 0.59, 7396, 0.580794, 0.422470,0,0,0,0,0,0,0,0,0,Simbad,297.58313,41.95243,6543893,15.767,7396.0,3.8689969024871353
1628,6975129,5993,4.151,  5.73, 0.65, 5079, 1.000912, 0.597666,0,0,0,0,0,0,0,0,0,Simbad,298.39575,42.45975,6975129,12.949,5079.0,3.705778212828598
1633,9401997,5220,4.651, 32.45, 1.41, 3480, 0.630833, 0.369150,0,0,0,0,0,0,0,0,0,Simbad,290.98331,45.9733,9401997,15.2,3480.0,3.5415792439465807
1637,10686864,4894,4.867, 12.92, 0.12, 5250, 0.617017, 0.350760,0,0,0,0,0,0,0,0,0,Simbad,299.05127,47.94928,10686864,15.759,5250.0,3.720159303405957
1646,11046025,4837,4.297, 31.62, 0.28, 4765, 0.553460, 0.381117,0,0,0,0,0,0,0,0,0,Simbad,298.46579,48.55941,11046025,14.293,4765.0,3.6780629049743454
1649,11337141,3765,4.78, 25.76, 0.32, 6182, 0.740093, 0.462471,1,0,0,0,0,0,0,0,0,Simbad,284.13287,49.14261,11337141,14.963,6182.0,3.791129000727286
1675,5360920,5534,4.88, 21.07, 0.12, 6299, 0.798452, 0.502101,0,0,0,0,0,0,0,0,0,Simbad,291.33719,40.5582,5360920,15.789,6299.0,3.7992716083498728
1681,5531953,3614,4.867, 24.27, 0.06, 7499, 1.100423, 0.645342,1,0,0,0,0,0,0,0,0,Simbad,291.285,40.73005,5531953,15.855,7499.0,3.8750033536000412
1683,6034945,5701,4.423, 16.81, 0.28, 7739, 0.965215, 0.573235,0,0,0,0,0,0,0,0,0,Simbad,289.38351,41.39269,6034945,14.63,7739.0,3.888684846659699
1687,6198999,4667,4.375, 24.32, 0.18,15240, 1.358752, 0.648805,0,0,0,0,0,0,0,0,0,Simbad,289.92072,41.54283,6198999,15.32,15240.0,4.1829849670035815
