Teff,alpha_p16,alpha_median,alpha_p84,alpha_err68
3504.0,0.06307787746191025,0.09561129659414291,0.13625127971172332,0.036586701124906536
3661.6316,0.0670596045255661,0.09553949907422066,0.13063621044158935,0.031788302958011626
3819.2632,0.07001609385013581,0.09513919427990913,0.12476255744695663,0.027373231798410412
3976.8948,0.07187595337629318,0.09440511465072632,0.1193896958231926,0.02375687122344971
4134.5264,0.07274864703416825,0.09308118745684624,0.11473205745220184,0.020991705209016796
4292.1577,0.07239058911800385,0.09100142866373062,0.1099384680390358,0.018773939460515976
4449.7896,0.07123234182596207,0.08801661804318428,0.10535771906375885,0.01706268861889839
4607.421,0.06877165287733078,0.08444149419665337,0.09994189471006393,0.015585120916366574
4765.0527,0.06565930843353271,0.07981700077652931,0.0940222641825676,0.014181477874517442
4922.684,0.06212894156575203,0.07456060498952866,0.08779117196798325,0.01283111520111561
5080.316,0.058270995765924455,0.0691467896103859,0.08128028720617295,0.011504645720124246
5237.9473,0.052482842653989795,0.06303920969367027,0.07445199579000474,0.01098457656800747
5395.579,0.046223095059394835,0.055635251104831696,0.06640918523073196,0.010093045085668561
5553.2104,0.037211407870054246,0.04728957451879978,0.05877047643065452,0.010779534280300138
5710.842,0.025725971385836603,0.03704198636114597,0.04855179354548454,0.01141291107982397
5868.4736,0.01218264814466238,0.024857675656676292,0.03697403460741043,0.012395693231374025
6026.1055,-0.0012667904095724223,0.013281917665153742,0.0289450167119503,0.015105903560761361
6183.737,-0.012815282270312308,0.004933273885399103,0.022537697404623032,0.017676489837467668
6341.368,-0.021552083119750022,0.001073944615200162,0.01988196447491646,0.020717023797333242
6499.0,-0.030683162584900857,-0.0012837887043133378,0.020751476138830185,0.02571731936186552
